Sys ID,CEC ID,BioClimVar,Time_Frame_ID,Statistic,Value,SourceData,ScoreDate
722663,9.2.1,bio6,1,min delta,2.94,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio18,1,mean zscore,1.13,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio11,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio16,1,min delta,140,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio1,1,mean,6.92,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio6,1,mean zscore,1.31,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio6,1,mean,-15.94,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio18,1,mean,259,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio1,1,min delta,1.3,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio8,1,mean,21.2,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio6,1,max delta,3.38,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio18,1,max delta,193,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio7,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio16,1,mean,259,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio19,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio1,1,mean delta,1.31,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio12,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio2,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio16,1,max delta,193,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio18,1,mean delta,169,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio4,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio15,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio1,1,max delta,1.34,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio18,1,percent area,98.907,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio1,1,percent area,100,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio16,1,percent area,98.91,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio6,1,mean delta,3.16,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio8,1,mean delta,4.42,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio8,1,max delta,6,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio14,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio1,1,mean zscore,1.31,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio5,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio13,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio6,1,percent area,100,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio17,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio3,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio10,1,percent area,0,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio8,1,percent area,93.443,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio16,1,mean delta,169,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio18,1,min delta,138,MACA_45_CEMML,3/28/2020
722663,9.2.1,bio8,1,min delta,3.08,MACA_45_CEMML,3/28/2020
